Name,Comments,Sentiment,Assigned to,Likes,Number of replies,Time
Theresa Musser,"I have been following the Lord Jesus Christ for many years now. I have watched “The Robe”, “Ben Hur”, “The Greatest Story Ever Told”, “Risen”, “The Road to Emmaus”, and so many “Christian” movies and shows over the last 60+ years of my life. All of them had glitches, or flaws or maybe slightly different interpretations than I had. Many of them were good and edifying, some were, maybe lacking. I have also read and seen historical novels that were great, and some not so great. I love the Lord and only want to serve him. I have always enjoyed good books and shows that have value. I have been involved in theatrical productions during school and at my church over the years. I think those things have been good. While the Chosen is not perfect I have found much of it to be very edifying and none of it thus far, to be blasphemous. Some parts are definitely better than others. I express my concerns about things that are odd or peculiar with family & friends. I know my Bible and I will continue to study it and proclaim it. The Chosen is a TV show trying to show forth the life of Jesus and His apostles. It is flawed, yes, but it is pretty good. Many people would never pick up a Bible or give Jesus a thought, however, many people might watch this show and begin to think about Jesus, start to ask questions about Jesus and start to read a Bible after seeing this show. 
Yes people need to know and understand that this is historical and Christian fiction. It is not the word for word script of the Bible, nor does it claim to be. If people feel that it is a distraction for them from God and His word then they should not watch it. I have found it to have the opposite effect on people, drawing them to Christ and the gospel. 
We are all different. If it doesn’t edify you, then leave it and pray for the souls that do watch it.",Against,YOBAH,159,7 replies,8 months ago
b camp,"As a non believer, I didn't know the Bible. The chosen helped me become interested in Jesus, and ultimately lead me to becoming a Baptized follower of our Lord and Savior. In the final analysis I would say it is simply ""biblically inspired entertainment"" and certainly not the  Holy word of God",Against,,687,129 replies,8 months ago
Linda Anglin,"I am an evangelical, born again believer who loved the Chosen from episode 1! However, as I have read some of the social media about the Chosen and churches doing Bible studies using the chosen as the source of study, a big red flag popped up! The Bible is our only source we need…Jesus Himself is enough!",For,,112,11 replies,8 months ago
Joshua,"I have to say. I watched the chosen when I was sort of in a years long dry spell and it sparked an interest in me to start reading the Bible again. 

Seeing the scenes and the background, the people, the way they dressed and how they lived sort of gives me a better view of what it might have looked like to be there for real! 

Of course I had concerns about some scenes and some things that Jesus said and Dallas has been very open to the fact that they are not claiming he did say this but merely he might have said this and I share your concern with that issue. I don’t like putting words into Gods mouth either but all of that being said I don’t think the show is horrible and I like watching it time to time but nothing beats the Bible period! 

And I will say that God may have used that show to get me back into his word. Since then I’ve read the entire Bible and I read/listen to the Audio everyday of the Bible and my spiritual walk has gone in a great direction! 
I really appreciate you making this video because I do think it’s needs to be said.",Against,,118,3 replies,8 months ago
mrtonality,"As a Chosen viewer, I never put that show over the accuracy of what the scriptures say. The scriptures are truly the foundation to what’s true about our Lord. The show could never replace that",Against,,18,,8 months ago
Caleb,"My Pastor started showing the chosen on Sunday nights due to a very small crows attending. I told him I had some major concerns and referred him to some other faithful videos that had objections to it. He immediately rejected my concerns and carried on with showing this to our church. 

Pastors, youth pastors, anyone in ministry...be humble enough to listen to those making you wary of potential enemy tactics. Investigate everything you feed to your flock. The enemy is cunning.",For,,125,34 replies,8 months ago (edited)
Mad Jackie,"The Jesus I fell in love with was in the movie ""Jesus of Nazareth."" He was portrayed as calm, kind, tender, loving, caring, and peaceful-all of which He is. However, He is much much more than that. I have struggled getting to know Christ as He is because I have clung so tightly to the Jesus I first loved. The Lord has helped me to understand why I was drawn to Him in that movie, but has also helped me to see how my desire to see Him as only that way has blinded me from seeing Him as He fully is. And He had to open my eyes to how blind I'd been too because I didn't even know I was blind.

There is a reason the Lord commanded:

3 ""You shall have no other gods before me.  4 ""You shall not make for yourself a carved image, or any likeness of anything that is in heaven above, or that is in the earth beneath, or that is in the water under the earth.  (Exodus 20:3-4, ESV)

In the same way that I cannot see God if I am looking at someone else, I cannot get to know God as He truly is if I am not looking at the true picture He gave us of Himself-His Holy Scriptures.",For,,23,2 replies,8 months ago
Saved by Grace 2021,"Brother Todd has some really good points, but I cannot deny the fact that this show got me and my family started, we eventually ended up getting Bible's and for sure have been stuck on our Bible's ever since. We couldn't keep waiting around for the 3rd season, I personally had no patience for their lil livestreams no offense, and for sure would definitely choose our King James Version Bible's over chosen any day, now we're looking into getting other Bible Versions lol. Well God bless whoever is reading this, Heavenly Father thank you for whoever is reading this may the Holy Spirit guide us and convict us always, give us a teachable heart, give us the love of truth that we may be sensitive to your voice and that we may mature gracefully in faith and discernment, Lord help us to walk in your Spirit with power, love and a sound mind in Jesus name, Amen ",Against,,18,2 replies,8 months ago
clpotis,"Thank you! I’ve had a vague bad feeling about watching a 21st century “Jesus” doing and saying things that aren’t in the Bible. In an end times age that is marked in the Bible by multiple warnings against deception, why are we filling our imaginations with things Jesus “might have said”??? 
The Bible says we have been given everything we need for life and godliness.",For,,23,5 replies,8 months ago
Rebecca Otis,"Todd, thank you for your words of caution.  I believe that your words can apply to any Christian media, not just The Chosen.  It is very easy for us to let our guards down when something is slapped with a label that says ""Christian"", whether that be movies, tv shows, music, or books.  I started watching The Chosen when the second season came out and have really enjoyed it so far.  I have not agreed with all of the choices that they have made (for example, the background story of Mary Magdalene)  but I have still enjoyed it.  It is a Christian artistic endeavor that has surprisingly been VERY well produced and well acted, something that I wish was more the norm instead of the mediocrity (at best) that we typically get.  I am looking forward to season 3, but I am getting my Biblical Filter Glasses cleaned and ready to go too!",Against,,53,2 replies,8 months ago
